,name
988,Schneider Weisse Tap 1 Mein Blondes
989,Augustiner Bräu Lagerbier Hell
990,Aecht Schlenkerla Rauchbier Urbock
991,Ayinger Bräuweisse
992,Weihenstephaner Korbinian
993,Aecht Schlenkerla Fastenbier
994,Weihenstephaner Hefeweissbier Dunkel
995,Schneider Aventinus Weizen-Eisbock
996,Weihenstephaner Vitus
997,Andechser Doppelbock Dunkel
998,Schneider Weisse Tap 6 Unser Aventinus
999,Celebrator
1000,Weihenstephaner Hefeweissbier
1001,Barrel-Aged Abraxas
1002,Marshmallow Handjee
1003,Heady Topper
1004,Doppelganger
1005,Society & Solitude #4
1006,Hunahpu's Imperial Stout - Double Barrel Aged
1007,Fourth Dementia - Bourbon Barrel-Aged
1008,Beatification
1009,Society & Solitude #5
1010,Ghost In The Machine - Double Dry-Hopped
1011,Mexican Brunch
1012,Miami Madness
1013,Last Buffalo In The Park
1014,It Was All A Dream
1015,Notorious Triple IPA
1016,Bourbon Barrel Aged Plead The 5th
1017,Coffee Cinnamon B-Bomb
1018,Beyond Good And Evil
1019,§ucaba
1020,Bourbon County Brand Barleywine Ale
1021,Pseudo Sue - Double Dry-Hopped
1022,Black Gold
1023,Sunday Brunch
1024,West Ashley
1025,Breakfast Stout
1026,Saison Du Fermier
1027,The Broken Truck
1028,Alter Ego
1029,Abricot Du Fermier
1030,Flora Plum
1031,Galaxy Dry Hopped Fort Point Pale Ale
1032,V.S.O.J.
1033,Bourbon Paradise
1034,Anabasis
1035,Triple Shot
1036,Black Note Stout
1037,Keene Idea
1038,Grande Negro Voodoo Papi - Bourbon Barrel-Aged
1039,Maman
1040,Beer:Barrel:Time
1041,Ephraim
1042,Adnams Tally-Ho
1043,Bishop's Farewell
1044,Imperial Black
1045,Fuller's London Pride
1046,Organic Export Scotch Ale
1047,Libertine Black Ale
1048,Elvis Juice
1049,Export India Porter
1050,Scottish Stout
1051,Boltmaker (formerly Best Bitter)
1052,Royal Oak Pale Ale
1053,Brave New World IPA
1054,Saint Petersburg Imperial Stout
1055,Halcyon
1056,Young's Special London Ale
1057,Hardcore IPA
1058,Manchester Star Ale
1059,Dark Island
1060,"Dogma (7,4%)"
1061,Buxton / Lervig - Trolltunga
1062,Old Peculier
1063,Buxton / Stillwater - Subluminal
1064,Rain Shadow
1065,Broken Dream
1066,Kipling
1067,Olde Suffolk English (Strong Suffolk Vintage) Ale
1068,Jaipur IPA
1069,Haze
1070,Chocolate Rain
1071,Very GGGreennn
1072,Triple Sunshine
1073,Nectarine Premiere
1074,Swish
1075,Black Tuesday
1076,Double Dry Hopped Fort Point Pale Ale
1077,Sip Of Sunshine
1078,Aaron
1079,Framboise Du Fermier
1080,Citra
1081,Double Dry Hopped Congress Street
1082,Green
1083,Focal Banger
1084,Cable Car
1085,Supplication
1086,Headroom
1087,Double Galaxy
1088,Atrial Rubicite
1089,Hunahpu's Imperial Stout
1090,Ann
1091,Double Citra®
1092,King Sue
1093,Doubleganger
1094,Fuzzy
1095,Bourbon County Brand Vanilla Stout
1096,Westly
1097,Speedway Stout - Vietnamese Coffee - Bourbon-Barrel Aged
1098,JJJuliusss
1099,Zombie Dust
1100,Duck Duck Gooze
1101,Barrel Aged Imperial German Chocolate Cupcake Stout
1102,Parabola
1103,Morning Wood
1104,KBS (Kentucky Breakfast Stout)
1105,Bourbon County Brand Stout
1106,Julius
1107,Dinner
1108,Double Sunshine
1109,Assassin
1110,Very Green
1111,Juice Machine
1112,Pliny The Elder
1113,CBS (Canadian Breakfast Stout)
1114,SR-71
1115,Fundamental Observation
1116,Bourbon County Brand Coffee Stout
1117,Very Hazy
1118,King JJJuliusss
1119,Pliny The Younger
1120,Mornin' Delight
1121,Hazy Jane
1122,Hoppy Christmas
1123,King Julius
1124,Tokyo*
1125,Old Chimneys Good King Henry Imperial Stout
1126,Elizabethan Ale
1127,Black Betty
1128,Wild Raven
1129,Golden Pride
1130,Cocoa Psycho
1131,Extra Stout
1132,J.W. Lees Harvest Ale (Lagavulin Whisky Cask)
1133,Wildebeest
1134,IPA Citra
1135,90/~ Wee Heavy
1136,Ola Dubh Special Reserve 21
1137,Young's Double Chocolate Stout
1138,Mackeson Triple XXX Stout
1139,I Hardcore You
1140,Fuller's ESB
1141,Dark Island Reserve
1142,Wee Heavy
1143,Landlord Pale Ale
1144,J.W. Lees Harvest Ale (Sherry Cask)
1145,J.W. Lees Harvest Ale (Calvados Cask)
1146,Skull Splitter
1147,Siren / Cigar City - Caribbean Chocolate Cake
1148,Nut Brown Ale
1149,Yorkshire Stingo
1150,Black Tokyo Horizon
1151,Fuller's 1845
1152,Ola Dubh Special Reserve 16
1153,Export Stout London 1890
1154,Ola Dubh Special Reserve 12
1155,Old Engine Oil Black Ale
1156,Imperial Brown Stout London 1856
1157,Traquair House Ale
1158,J.W. Lees Harvest Ale (Port Cask)
1159,Ola Dubh Special Reserve 18
1160,Bracia
1161,Traquair Jacobite
1162,Taddy Porter
1163,Old Engine Oil Engineer's Reserve Blackest Ale
1164,Kentucky Brunch Brand Stout
1165,Fuller's Vintage Ale
1166,Fuller's London Porter
1167,Old Chimneys Good King Henry Special Reserve
1168,Ola Dubh Special Reserve 40
1169,Oatmeal Stout
1170,Ola Dubh Special Reserve 30
1171,Courage Imperial Russian Stout
1172,Organic Chocolate Stout
1173,Harvest Ale (Limited Edition)
1174,Buxton / Omnipollo Yellow Belly Sundae
1175,Buxton / Omnipollo - Yellow Belly
